,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982,Apr-1982
Series End,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022
No. Obs,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487
Series ID,A3348645F,A3348708C,A3348771V,A3348834T,A3348897A,A3348960F,A3349023F,A3349086R,A3348582J,A3348648L,A3348711T,A3348774A,A3348837X,A3348900C,A3348963L,A3349026L,A3349089W,A3348585R,A3348651A,A3348714X,A3348777J,A3348840L,A3348903K,A3348966V,A3349029V,A3349092K,A3348588W
Apr-1982,1250.2,916.2,486.3,279.4,298.3,79.9,,57.1,3396.4,1310.9,932.0,508.5,284.3,313.0,81.5,,57.8,3518.7,1310.3,933.2,511.5,284.0,315.3,81.3,,57.3,3523.4
May-1982,1300.0,931.2,492.8,288.0,318.5,78.9,,57.3,3497.9,1305.5,938.9,510.0,288.9,315.5,80.5,,57.7,3527.7,1307.4,939.0,513.4,287.6,316.5,81.5,,57.4,3533.6
Jun-1982,1234.2,887.0,494.1,277.2,301.5,77.5,,55.3,3357.8,1309.9,952.9,518.4,288.9,321.2,81.0,,58.3,3561.5,1305.2,946.3,515.5,291.8,317.8,81.9,,57.7,3547.0
Jul-1982,1265.0,921.3,515.6,296.1,316.4,82.7,,56.3,3486.8,1292.0,956.0,517.9,296.2,320.4,83.6,,56.8,3553.9,1302.5,954.3,517.1,296.3,319.1,82.2,,58.2,3560.6
Aug-1982,1217.6,883.2,501.4,288.4,300.5,78.1,,55.4,3355.9,1314.5,950.8,521.3,303.7,318.5,83.2,,58.9,3581.8,1298.2,963.6,517.9,301.1,320.4,82.4,,58.9,3573.6
Sep-1982,1244.9,917.9,517.7,293.0,312.3,79.1,,57.5,3454.3,1292.5,971.9,520.8,303.7,319.6,82.5,,59.0,3581.2,1293.2,974.2,517.8,306.3,321.6,82.4,,60.0,3586.7
Oct-1982,1264.2,983.3,504.2,307.9,318.7,78.7,,61.9,3551.5,1289.5,987.7,510.7,310.9,322.2,81.1,,61.6,3595.6,1293.3,985.6,518.0,311.3,322.6,82.4,,61.2,3605.8
Nov-1982,1372.6,1065.2,536.0,332.1,337.9,86.5,,68.3,3830.5,1300.7,1007.5,520.5,318.0,326.9,82.9,,63.2,3651.7,1303.1,998.2,519.6,316.3,323.4,82.7,,62.3,3637.7
Dec-1982,1888.3,1427.3,715.9,440.9,457.4,118.6,,92.2,5179.7,1293.3,1008.1,519.8,322.3,326.5,83.2,,65.3,3650.4,1322.6,1010.3,523.4,321.2,324.4,83.5,,63.3,3681.0
Jan-1983,1214.5,920.3,502.4,295.9,295.4,75.2,,53.0,3384.5,1332.8,1010.8,527.2,326.7,321.0,84.1,,61.0,3695.6,1348.9,1019.2,528.8,325.9,325.6,84.5,,64.0,3729.5
Feb-1983,1240.6,921.7,470.0,284.1,292.6,76.5,,55.1,3369.8,1419.4,1024.8,539.6,325.2,328.1,85.1,,65.2,3821.0,1375.7,1023.1,534.5,330.3,326.8,85.5,,64.5,3773.4
Mar-1983,1375.7,1049.2,535.7,340.5,319.6,89.1,,63.1,3805.3,1394.5,1037.4,539.8,337.5,326.6,88.6,,65.0,3822.8,1396.7,1023.3,539.7,334.9,328.6,86.4,,65.0,3807.6
Apr-1983,1344.2,994.9,509.0,326.0,313.0,83.5,,63.3,3665.1,1432.0,1042.0,548.3,343.3,333.0,87.7,,65.5,3885.2,1408.0,1022.8,543.8,340.1,331.2,86.9,,65.2,3831.1
May-1983,1379.9,990.4,527.5,341.1,336.8,85.1,,65.6,3760.0,1396.2,993.6,542.7,340.4,335.6,85.9,,65.9,3793.2,1411.2,1024.3,546.6,345.8,334.5,87.4,,65.3,3848.5
Jun-1983,1325.8,950.0,524.2,335.0,316.9,83.0,,62.3,3630.8,1406.1,1016.3,547.1,348.0,335.9,87.3,,65.2,3839.4,1410.7,1029.4,549.1,350.8,338.3,88.0,,65.2,3865.1
Jul-1983,1328.1,971.0,534.8,342.3,326.5,83.9,,64.5,3686.5,1398.2,1038.5,551.8,354.5,339.6,88.3,,66.4,3871.1,1412.3,1037.9,551.7,354.0,341.7,88.8,,65.5,3885.6
Aug-1983,1366.3,1015.5,551.0,356.4,340.9,88.1,,62.5,3816.3,1414.7,1067.6,558.3,366.4,349.0,90.8,,64.4,3945.5,1418.2,1049.6,555.0,354.9,344.5,89.8,,66.5,3912.6
Sep-1983,1370.8,1019.2,553.9,349.7,342.3,88.0,,64.1,3823.4,1433.8,1065.1,554.9,357.7,349.2,91.0,,65.1,3951.4,1426.9,1062.7,558.7,354.1,346.9,91.0,,68.1,3942.9
Oct-1983,1412.3,1053.0,545.1,332.8,340.5,88.7,,71.4,3878.7,1447.5,1075.7,560.5,342.0,348.1,92.6,,71.5,3972.3,1435.6,1075.0,562.2,352.5,349.4,92.2,,69.9,3971.4
Nov-1983,1541.6,1136.8,593.3,363.9,365.3,97.7,,78.0,4211.5,1442.1,1073.1,570.2,346.8,350.7,93.0,,72.8,3983.3,1443.8,1085.3,564.7,350.7,352.3,93.2,,71.5,3996.3
Dec-1983,2119.6,1543.3,772.2,480.0,485.3,133.5,,107.7,5684.3,1453.7,1090.6,566.1,351.4,349.7,93.4,,77.7,4017.6,1451.0,1094.2,566.7,349.7,355.8,93.9,,72.5,4018.8
Jan-1984,1299.1,1020.7,548.9,320.5,333.7,85.8,,59.4,3698.5,1434.1,1119.0,572.6,351.7,363.9,95.1,,67.9,4039.3,1457.1,1102.9,568.2,349.7,359.6,94.6,,72.9,4040.1
Feb-1984,1348.1,1024.5,513.7,320.2,341.7,89.1,,63.7,3733.2,1471.9,1101.5,564.8,354.0,365.8,95.7,,72.2,4061.2,1462.4,1111.0,570.3,350.6,363.6,95.4,,72.7,4061.2
Mar-1984,1433.6,1117.4,555.7,346.8,358.4,94.4,,70.5,4010.9,1482.4,1120.0,571.7,350.9,369.2,96.3,,73.1,4098.9,1467.9,1117.2,574.0,351.7,367.3,96.4,,72.3,4082.3
Apr-1984,1352.8,1049.3,532.2,325.6,337.7,89.0,,69.1,3788.4,1473.2,1124.0,580.0,348.7,367.2,96.1,,72.5,4097.7,1473.5,1120.4,580.0,352.3,370.2,97.4,,72.1,4101.7
May-1984,1519.4,1156.7,593.6,367.9,390.5,102.3,,73.9,4242.3,1476.5,1119.4,589.9,353.6,376.2,98.6,,72.1,4122.3,1479.1,1120.5,588.3,352.9,372.7,98.4,,72.2,4120.1
Jun-1984,1376.9,1047.0,560.7,339.7,346.6,96.2,,69.2,3872.1,1463.4,1113.8,587.9,352.4,367.1,100.4,,72.5,4093.2,1485.2,1118.7,597.7,354.3,375.4,99.3,,72.5,4139.1
Jul-1984,1421.9,1048.3,592.4,346.9,364.5,95.7,,70.5,3978.0,1511.5,1132.8,618.7,363.9,386.5,101.3,,72.2,4223.6,1492.7,1116.9,606.9,356.3,378.7,100.0,,72.8,4160.4
Aug-1984,1462.9,1077.2,620.3,351.0,377.0,97.8,,71.7,4096.1,1500.1,1105.0,616.4,354.4,379.8,100.0,,73.1,4165.1,1502.1,1115.7,615.1,358.7,383.0,100.7,,73.0,4184.7
Sep-1984,1397.5,1017.4,591.7,334.2,363.2,91.9,,69.5,3901.4,1512.4,1111.0,618.6,356.5,384.8,99.5,,73.6,4192.8,1513.4,1116.9,621.1,361.5,387.6,101.6,,73.4,4212.1
Oct-1984,1536.0,1126.6,627.8,369.2,396.7,103.2,,76.2,4274.0,1522.9,1119.4,625.3,368.6,393.8,103.5,,74.4,4244.7,1524.3,1121.9,625.2,364.7,392.0,102.7,,73.9,4241.5
Nov-1984,1640.7,1219.2,658.8,394.2,416.8,109.2,,80.7,4557.1,1538.0,1137.0,627.7,371.2,397.4,103.7,,74.8,4287.0,1534.0,1129.9,627.6,368.2,395.7,103.9,,74.4,4270.9
Dec-1984,2174.7,1532.3,833.8,480.3,540.2,142.9,,99.4,5847.5,1544.8,1137.0,635.3,367.6,401.0,105.5,,73.2,4301.7,1544.5,1140.3,629.9,371.9,398.8,105.2,,74.9,4303.0
Jan-1985,1471.3,1087.6,627.2,357.9,381.1,101.9,,68.8,4130.0,1562.4,1148.0,630.6,376.7,400.7,108.0,,76.9,4341.1,1556.9,1152.5,633.4,375.7,401.2,106.5,,75.7,4339.8
Feb-1985,1366.3,1055.7,548.7,332.9,358.2,96.2,,65.6,3856.8,1566.2,1179.7,627.8,381.6,401.7,106.8,,77.3,4379.3,1574.0,1165.2,638.5,379.5,403.5,107.6,,76.8,4383.3
Mar-1985,1488.3,1130.5,616.0,366.1,386.7,102.1,,71.2,4196.9,1581.5,1166.1,648.9,381.9,406.5,107.6,,75.7,4406.6,1595.5,1176.9,644.4,382.8,406.3,108.4,,78.3,4431.0
Apr-1985,1521.9,1131.4,606.4,366.7,383.4,104.6,,78.6,4228.9,1621.3,1184.5,651.0,383.1,408.2,108.8,,81.0,4476.7,1619.8,1188.0,650.5,386.0,410.5,109.1,,80.0,4482.6
May-1985,1716.5,1259.2,675.3,408.4,438.3,114.7,,85.1,4739.1,1658.0,1211.8,665.7,392.2,416.6,110.9,,82.3,4576.7,1644.3,1198.8,656.6,389.0,416.0,109.7,,81.7,4535.2
Jun-1985,1507.1,1102.2,613.8,368.5,381.6,102.3,,76.2,4190.3,1659.4,1209.7,660.3,395.0,417.7,110.8,,82.6,4575.1,1667.1,1210.0,662.7,391.6,421.9,110.1,,83.1,4586.1
Jul-1985,1679.4,1151.6,649.7,380.9,417.9,107.0,,85.5,4514.6,1717.9,1212.1,662.9,390.3,430.8,110.1,,85.0,4649.3,1688.4,1222.0,668.9,394.6,427.1,110.7,,84.0,4635.5
Aug-1985,1637.4,1203.0,672.4,391.8,429.1,107.8,,82.7,4566.3,1684.6,1230.2,674.3,395.3,436.4,109.8,,84.5,4655.3,1709.5,1234.6,675.5,398.1,430.8,111.4,,84.4,4684.6
Sep-1985,1577.6,1139.5,652.5,376.5,409.3,102.9,,81.9,4380.3,1711.7,1250.8,682.9,403.4,434.6,112.5,,85.4,4721.8,1730.5,1247.4,683.7,402.1,433.4,112.1,,84.5,4734.3
Oct-1985,1764.1,1293.8,709.8,411.4,437.4,113.6,,84.8,4857.7,1750.2,1267.5,696.7,404.6,432.2,112.7,,83.3,4788.1,1748.5,1258.7,693.1,405.5,435.7,112.9,,84.5,4779.9
Nov-1985,1900.0,1344.1,726.7,429.9,454.1,120.0,,88.8,5105.0,1775.5,1269.4,702.5,409.5,434.7,114.3,,84.0,4831.2,1759.4,1267.6,702.2,407.6,438.4,113.4,,84.8,4814.6
Dec-1985,2509.5,1730.4,933.2,549.2,585.6,157.6,,113.5,6628.2,1794.2,1277.4,708.8,418.0,438.7,115.1,,83.2,4877.1,1762.7,1275.5,710.3,408.8,441.8,113.6,,85.2,4839.5
Jan-1986,1684.3,1223.7,722.2,385.0,434.1,105.6,,81.6,4674.9,1770.2,1278.7,717.7,401.8,448.3,111.8,,90.3,4860.9,1761.8,1284.5,717.5,409.8,445.8,113.3,,85.8,4860.4
Feb-1986,1516.2,1161.9,639.3,360.2,405.5,102.1,,71.9,4294.1,1735.5,1303.3,731.3,413.7,455.8,113.4,,84.4,4879.8,1761.8,1296.8,724.0,411.2,449.6,112.8,,86.2,4884.9
Mar-1986,1611.5,1213.7,672.1,377.7,425.8,105.3,,82.6,4528.0,1729.4,1283.6,718.9,399.9,452.0,112.2,,87.9,4826.5,1767.9,1313.9,729.2,413.4,452.7,112.5,,86.7,4919.1
Apr-1986,1681.0,1298.2,684.1,405.7,431.1,107.2,,81.9,4729.0,1776.6,1340.6,730.2,420.1,453.9,111.3,,85.1,4960.5,1784.6,1334.8,733.1,416.1,455.2,112.7,,87.6,4967.1
May-1986,1898.1,1429.5,753.3,448.7,473.9,118.5,,92.8,5261.9,1848.4,1382.2,750.3,432.2,455.6,114.4,,90.4,5118.0,1809.4,1356.7,736.0,418.7,457.8,113.5,,88.7,5024.2
Jun-1986,1664.2,1240.8,693.7,388.1,423.0,104.1,,81.1,4637.8,1832.0,1363.3,741.6,418.5,461.8,113.4,,86.5,5060.9,1835.7,1376.0,737.9,420.5,461.2,114.8,,90.2,5080.1
Jul-1986,1814.5,1344.3,717.8,410.1,447.9,113.9,,94.3,4989.5,1853.0,1390.7,724.5,413.2,460.9,116.1,,93.4,5095.5,1857.1,1390.6,739.6,421.0,465.4,116.2,,91.6,5125.6
Aug-1986,1766.5,1332.2,720.3,402.5,453.6,112.7,,90.8,4923.8,1884.7,1411.9,743.4,420.7,475.2,119.2,,95.6,5195.0,1870.2,1399.7,742.4,420.3,470.1,117.4,,92.5,5156.7
Sep-1986,1790.7,1320.8,733.3,408.8,457.5,114.1,,91.7,4962.2,1875.9,1402.0,752.5,425.1,476.2,119.2,,92.9,5188.3,1876.4,1404.7,747.0,419.6,475.1,118.1,,92.6,5177.8
Oct-1986,1901.8,1448.8,776.3,426.4,492.9,118.2,,93.6,5305.1,1868.8,1406.7,750.6,417.9,479.7,117.6,,91.4,5177.3,1879.4,1408.9,754.0,419.6,479.8,118.2,,92.3,5196.8
Nov-1986,1943.2,1435.8,757.7,424.9,487.5,119.0,,92.2,5303.5,1880.7,1408.0,756.4,418.3,482.2,117.8,,91.1,5199.0,1882.2,1414.8,763.1,420.9,484.1,118.2,,92.1,5220.3
Dec-1986,2732.9,1974.3,1044.4,568.6,671.3,166.9,,126.8,7340.0,1893.9,1419.5,775.3,421.7,486.6,119.0,,91.4,5252.8,1885.0,1422.2,772.6,423.0,488.4,118.5,,92.4,5247.4
Jan-1987,1790.4,1368.4,782.2,409.9,477.0,111.9,,83.7,5065.3,1884.6,1431.6,783.4,426.4,494.9,117.8,,92.3,5277.0,1888.8,1430.0,779.3,425.5,493.2,119.5,,93.4,5275.2
Feb-1987,1659.8,1278.1,688.4,373.8,448.5,108.9,,82.2,4679.8,1897.7,1440.7,786.7,430.1,505.1,120.7,,96.0,5323.2,1895.8,1438.6,782.5,428.4,498.7,121.4,,94.8,5306.3
Mar-1987,1762.6,1381.0,733.3,406.5,460.2,114.6,,92.1,4993.0,1903.0,1462.3,788.1,431.6,493.4,122.1,,97.5,5344.0,1907.2,1447.7,783.2,432.0,504.9,123.8,,96.3,5341.5
Apr-1987,1825.4,1407.4,746.4,427.3,496.3,124.9,,94.3,5166.0,1913.8,1444.9,785.7,436.5,512.8,129.0,,97.0,5366.6,1922.8,1457.7,782.7,435.8,511.0,126.1,,97.4,5380.2
May-1987,1926.6,1462.6,758.6,437.6,526.6,128.1,,97.7,5386.3,1937.7,1463.7,776.8,438.5,522.2,128.3,,98.5,5413.0,1941.5,1469.4,783.1,439.7,517.1,127.9,,97.9,5423.8
Jun-1987,1839.2,1373.8,732.6,418.0,489.5,124.4,,94.3,5118.9,1971.8,1470.5,765.5,439.9,522.2,130.4,,98.0,5445.4,1961.7,1481.7,787.1,443.8,522.4,128.9,,98.0,5470.8
Jul-1987,1953.9,1479.1,815.6,448.9,519.8,126.0,,100.1,5494.6,1978.8,1509.2,812.4,450.1,528.5,129.0,,98.4,5553.8,1979.4,1494.6,795.6,447.7,527.5,129.2,,98.2,5519.7
Aug-1987,1870.7,1408.5,771.1,428.9,497.1,119.6,,92.3,5236.7,2008.4,1510.9,807.2,453.4,528.3,128.5,,97.3,5581.7,1992.5,1505.4,807.9,450.7,532.6,129.3,,98.7,5564.9
Sep-1987,1923.2,1441.9,802.2,438.9,518.6,123.9,,97.2,5395.1,1998.0,1515.0,817.7,453.1,535.8,128.5,,99.1,5595.2,2002.6,1511.7,821.7,452.0,536.8,129.7,,99.5,5601.9
Oct-1987,2034.3,1548.6,861.7,460.0,555.3,131.2,,102.2,5744.4,2006.5,1510.1,836.3,451.6,542.7,130.1,,100.4,5626.2,2012.7,1512.4,834.7,451.8,539.0,130.6,,100.5,5630.0
Nov-1987,2092.9,1521.4,853.5,456.2,538.5,131.4,,104.2,5745.0,2027.8,1504.5,853.0,451.7,533.4,131.4,,102.5,5652.9,2025.0,1509.9,845.6,450.7,539.5,132.1,,101.5,5652.9
Dec-1987,2888.1,2172.0,1167.2,619.7,779.1,192.3,,143.6,8022.4,2010.3,1540.3,858.0,451.1,562.3,136.1,,103.6,5711.1,2040.6,1508.6,854.6,449.5,539.4,133.5,,102.3,5677.6
Jan-1988,1924.0,1373.4,839.5,412.6,498.3,123.9,,89.5,5304.4,2073.3,1469.1,863.1,441.2,528.9,133.6,,101.1,5659.4,2058.0,1513.3,863.6,449.4,539.8,134.8,,102.9,5711.3
Feb-1988,1899.4,1390.6,785.8,406.3,479.6,127.1,,93.3,5226.8,2090.3,1523.9,868.0,453.7,523.3,137.0,,104.5,5750.7,2073.6,1524.5,876.0,451.0,541.8,135.6,,103.4,5755.8
Mar-1988,2039.8,1536.1,874.6,460.0,533.1,136.0,,101.2,5729.7,2085.8,1538.0,893.9,456.7,543.5,135.3,,102.9,5806.5,2083.8,1539.8,893.7,454.4,545.0,136.0,,103.7,5806.8
Apr-1988,1948.0,1494.6,838.9,430.8,538.3,129.3,47.0,100.3,5527.3,2081.1,1569.0,905.8,454.3,561.3,136.0,50.8,104.4,5862.7,2087.0,1556.1,917.4,459.0,548.3,136.2,50.9,104.2,5858.9
May-1988,2051.2,1542.8,900.7,455.6,548.4,134.0,52.0,103.2,5787.8,2101.5,1580.4,937.9,465.1,559.4,136.4,51.4,104.3,5936.4,2085.4,1570.9,945.5,464.1,550.1,136.4,51.3,104.8,5908.5
Jun-1988,1980.9,1529.9,954.6,456.0,529.5,132.5,53.0,102.8,5739.2,2081.7,1600.6,975.6,471.3,551.5,137.5,51.9,106.6,5976.7,2084.3,1583.8,972.1,468.7,550.2,137.0,51.7,105.2,5953.1
Jul-1988,1985.4,1489.9,985.0,458.3,517.4,129.1,54.5,103.1,5722.7,2078.2,1564.6,1014.4,475.7,542.5,136.4,52.2,104.7,5968.7,2089.5,1595.4,991.0,472.5,548.8,137.9,52.2,105.6,5992.9
Aug-1988,1997.5,1531.7,982.9,459.4,522.5,134.5,54.3,104.5,5787.3,2093.2,1603.8,1008.0,474.2,545.8,139.8,52.1,107.3,6024.2,2108.1,1607.0,1000.1,476.3,548.3,138.9,52.7,106.2,6037.7
Sep-1988,2078.8,1562.2,1003.5,469.2,535.0,136.1,56.0,105.6,5946.3,2132.0,1621.0,1002.2,478.1,545.5,140.0,53.6,106.2,6078.6,2139.6,1620.2,1001.5,480.7,552.1,140.2,53.5,107.2,6095.0
Oct-1988,2131.5,1613.6,998.9,473.1,552.7,135.7,54.9,105.4,6065.8,2172.4,1639.8,1006.5,485.6,559.9,141.7,54.3,106.7,6166.9,2178.8,1633.6,999.1,485.1,561.4,141.6,54.4,108.5,6162.4
Nov-1988,2352.8,1724.3,978.1,502.2,597.6,149.6,54.7,111.7,6470.9,2226.7,1663.5,957.2,481.7,576.0,143.2,55.4,108.0,6211.8,2219.7,1645.8,998.0,489.3,574.1,142.8,55.2,109.7,6234.6
Dec-1988,3252.4,2339.7,1365.4,690.3,810.5,200.1,67.5,159.9,8885.8,2268.7,1644.1,1001.6,502.1,577.9,142.5,55.4,115.5,6307.8,2254.9,1655.2,1002.0,492.6,586.4,143.8,56.0,110.6,6301.5
Jan-1989,2140.0,1532.0,993.5,463.4,567.4,134.1,50.9,99.1,5980.3,2330.5,1662.5,1035.0,500.2,616.0,145.8,58.0,111.2,6459.2,2281.1,1662.1,1011.7,494.3,595.6,144.3,56.6,110.6,6356.4
Feb-1989,1984.8,1461.4,895.6,426.4,530.1,131.7,49.1,95.0,5574.1,2253.5,1658.7,1022.4,490.9,601.6,145.4,56.7,109.8,6339.1,2300.1,1668.5,1025.3,494.4,600.9,144.5,56.9,109.9,6400.6
