,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Feb-1992,728.4,728.5,725.1,424.5,424.8,423.5,303.9,303.7,301.6,548.2,545.6,546.4,383.7,383.1,383.2,164.5,162.5,163.3,178.6,40.3,138.3,57.6,57.6,57.3,67.4,67.4,67.2,47.8,47.8,47.4,90.7,91.7,101.0,56.6,57.4,62.3,34.1,34.3,38.8,86.0,57.3,28.7,15.1,5.0,10.1,11.1,11.2,12.2,11.8,11.9,12.8,10.1,10.1,11.4,13.6,13.0,15.0,7.8,11.0,6.8,819.1,820.2,826.1,481.1,482.2,485.7,338.0,338.0,340.4,64.7,64.8,65.3,76.4,76.5,77.1,53.2,53.2,53.5,439.8,144.5,295.3,1265.9,630.2,635.7
Mar-1992,730.0,729.1,727.4,425.0,424.1,422.1,305.0,305.1,305.3,548.9,547.8,543.4,383.6,382.0,379.3,165.3,165.8,164.0,184.0,42.8,141.3,57.6,57.5,57.4,67.4,67.2,66.9,47.9,47.9,48.0,90.8,93.7,99.9,57.0,58.7,60.5,33.8,34.9,39.4,82.8,54.9,28.0,17.0,5.6,11.4,11.1,11.4,12.1,11.8,12.2,12.5,10.0,10.3,11.4,13.2,12.6,14.6,8.5,11.6,7.5,820.8,822.8,827.2,482.0,482.8,482.6,338.8,340.0,344.6,64.8,64.9,65.2,76.4,76.5,76.4,53.2,53.4,54.1,440.7,148.7,292.0,1267.9,631.3,636.6
Apr-1992,731.9,731.8,732.1,425.7,425.0,424.8,306.2,306.8,307.4,550.3,549.0,546.9,383.9,382.9,382.7,166.3,166.1,164.3,185.2,42.1,143.1,57.7,57.7,57.7,67.4,67.3,67.2,48.0,48.1,48.2,90.8,90.0,90.2,57.2,57.1,55.8,33.5,32.9,34.4,75.6,51.6,23.9,14.6,4.2,10.4,11.0,11.0,11.0,11.8,11.8,11.6,9.9,9.7,10.1,12.1,11.9,12.7,7.3,9.1,6.8,822.6,821.8,822.4,482.9,482.1,480.6,339.7,339.8,341.8,64.8,64.8,64.8,76.4,76.3,76.1,53.3,53.3,53.6,446.8,151.3,295.5,1269.1,631.9,637.3
May-1992,733.6,735.8,735.3,426.6,428.5,427.2,307.0,307.3,308.1,551.9,555.9,555.5,384.6,386.4,386.4,167.3,169.5,169.1,179.8,40.8,139.0,57.7,57.9,57.9,67.4,67.7,67.5,48.1,48.2,48.3,90.7,89.5,89.4,57.1,56.7,57.1,33.7,32.8,32.2,75.9,52.2,23.7,13.4,4.9,8.5,11.0,10.8,10.8,11.8,11.7,11.8,9.9,9.6,9.5,12.0,11.9,12.3,6.9,10.8,5.8,824.4,825.2,824.7,483.7,485.2,484.4,340.6,340.1,340.3,64.9,65.0,64.9,76.5,76.7,76.6,53.4,53.3,53.4,445.7,148.1,297.6,1270.3,632.5,637.9
Jun-1992,734.9,735.9,737.7,427.6,427.1,428.1,307.3,308.8,309.7,553.3,552.4,550.3,385.2,384.7,384.5,168.0,167.7,165.8,187.5,43.6,143.9,57.8,57.9,58.0,67.5,67.5,67.6,48.1,48.4,48.5,90.7,88.1,85.8,56.7,55.8,53.9,34.0,32.3,31.9,73.5,49.8,23.8,12.2,4.1,8.1,11.0,10.7,10.4,11.7,11.6,11.2,10.0,9.5,9.3,11.8,11.5,12.5,6.1,8.6,5.3,825.6,824.0,823.5,484.3,482.8,481.9,341.3,341.2,341.6,64.9,64.8,64.8,76.5,76.3,76.1,53.4,53.4,53.5,448.0,151.1,296.9,1271.6,633.1,638.5
Jul-1992,735.3,734.4,736.0,428.2,427.3,429.4,307.1,307.0,306.6,553.8,554.8,557.1,385.6,386.8,388.0,168.3,168.0,169.2,178.8,41.5,137.4,57.7,57.7,57.8,67.5,67.4,67.7,48.0,48.0,47.9,90.9,92.0,86.4,56.3,56.5,54.5,34.6,35.5,31.9,73.2,51.0,22.2,13.2,3.5,9.7,11.0,11.1,10.5,11.6,11.7,11.3,10.1,10.4,9.4,11.6,11.6,11.6,6.9,7.8,6.6,826.2,826.4,822.4,484.5,483.8,483.9,341.7,342.6,338.5,64.9,64.9,64.6,76.4,76.3,76.3,53.4,53.6,52.9,451.0,150.1,300.9,1273.4,634.0,639.4
Aug-1992,735.3,736.2,733.6,428.6,430.3,429.0,306.8,305.9,304.5,553.7,554.7,549.0,385.5,386.9,384.4,168.3,167.8,164.6,184.6,44.7,140.0,57.7,57.7,57.5,67.5,67.8,67.6,47.9,47.8,47.6,91.2,92.5,89.1,55.9,56.1,54.8,35.3,36.4,34.3,74.2,51.0,23.2,14.9,3.8,11.1,11.0,11.2,10.8,11.5,11.5,11.3,10.3,10.6,10.1,11.9,11.7,12.4,7.5,7.8,7.3,826.5,828.7,822.7,484.5,486.4,483.8,342.1,342.2,338.9,64.8,65.0,64.5,76.3,76.6,76.2,53.4,53.5,52.9,452.5,151.1,301.4,1275.2,634.9,640.3
Sep-1992,735.5,735.8,743.3,428.7,428.7,432.8,306.8,307.2,310.5,553.4,552.1,555.2,385.2,383.1,385.4,168.2,169.0,169.8,188.1,47.4,140.7,57.6,57.6,58.2,67.4,67.4,68.1,47.9,47.9,48.4,91.3,90.4,90.5,55.5,54.9,54.9,35.7,35.5,35.6,75.2,50.4,24.8,15.4,4.5,10.9,11.0,10.9,10.9,11.5,11.4,11.3,10.4,10.4,10.3,11.9,11.6,12.7,7.5,8.6,7.2,826.7,826.2,833.9,484.2,483.6,487.7,342.6,342.6,346.2,64.8,64.7,65.3,76.2,76.1,76.7,53.4,53.4,54.0,443.1,148.1,295.0,1277.0,635.8,641.2
Oct-1992,736.3,737.4,738.7,428.8,432.7,434.1,307.5,304.7,304.6,553.5,558.4,558.6,385.3,391.1,391.3,168.3,167.3,167.3,180.0,42.8,137.2,57.6,57.7,57.8,67.4,68.0,68.2,47.9,47.5,47.5,90.6,92.3,85.7,54.7,55.7,51.0,35.9,36.6,34.7,71.0,46.6,24.5,14.7,4.5,10.2,11.0,11.1,10.4,11.3,11.4,10.5,10.4,10.7,10.2,11.3,10.6,12.8,7.5,9.5,6.9,826.9,829.7,824.4,483.5,488.4,485.1,343.3,341.2,339.2,64.7,64.9,64.5,76.0,76.7,76.2,53.5,53.2,52.9,453.9,151.3,302.6,1278.3,636.5,641.8
Nov-1992,738.0,738.7,737.1,429.4,428.1,425.8,308.7,310.7,311.3,554.4,558.9,558.3,386.0,385.7,385.4,168.5,173.2,173.0,178.8,40.4,138.4,57.7,57.7,57.6,67.4,67.2,66.8,48.0,48.4,48.5,89.0,83.0,77.1,53.4,49.1,46.1,35.6,33.9,31.0,64.7,42.0,22.7,12.4,4.2,8.3,10.8,10.1,9.5,11.1,10.3,9.8,10.3,9.8,9.0,10.4,9.8,11.6,6.5,9.3,5.6,827.0,821.8,814.2,482.7,477.2,471.9,344.2,344.6,342.3,64.6,64.2,63.6,75.8,74.9,74.1,53.6,53.6,53.3,465.4,165.2,300.1,1279.6,637.1,642.4
Dec-1992,740.5,735.5,744.4,430.4,427.1,431.7,310.1,308.4,312.8,556.1,553.8,562.9,387.4,385.4,390.5,168.6,168.4,172.4,181.5,41.2,140.4,57.8,57.4,58.1,67.5,67.0,67.7,48.2,48.0,48.6,86.8,90.5,91.1,51.7,54.1,54.3,35.1,36.4,36.9,73.9,48.3,25.6,17.2,5.9,11.3,10.5,11.0,10.9,10.7,11.3,11.2,10.2,10.5,10.5,11.6,11.0,12.9,8.7,12.6,7.4,827.3,826.0,835.6,482.1,481.2,485.9,345.2,344.8,349.6,64.6,64.5,65.2,75.6,75.5,76.2,53.7,53.6,54.4,445.3,151.9,293.4,1280.9,637.8,643.1
Jan-1993,743.7,748.0,739.6,432.1,433.0,430.4,311.6,315.0,309.2,558.4,560.5,561.0,389.6,390.9,389.7,168.8,169.6,171.3,178.7,40.7,138.0,58.0,58.3,57.7,67.6,67.8,67.4,48.4,48.9,48.0,84.5,84.8,91.8,50.0,50.4,56.2,34.5,34.4,35.6,78.1,51.8,26.3,13.7,4.4,9.3,10.2,10.2,11.0,10.4,10.4,11.5,10.0,9.8,10.3,12.2,11.7,13.3,7.1,9.8,6.3,828.2,832.8,831.4,482.1,483.5,486.6,346.1,349.4,344.9,64.6,64.9,64.8,75.5,75.7,76.2,53.7,54.3,53.6,451.3,152.2,299.1,1282.8,638.8,644.0
Feb-1993,747.3,738.1,734.9,434.4,429.9,428.5,312.9,308.2,306.4,561.3,554.8,555.6,392.1,391.1,391.2,169.2,163.7,164.4,179.2,37.3,142.0,58.2,57.5,57.2,67.9,67.2,67.0,48.5,47.8,47.5,82.4,80.0,88.8,48.4,45.9,49.9,34.0,34.1,38.9,71.3,45.3,26.0,17.5,4.6,12.9,9.9,9.8,10.8,10.0,9.7,10.4,9.8,10.0,11.3,11.4,10.4,13.6,8.9,11.0,8.3,829.7,818.1,823.7,482.8,475.8,478.4,346.9,342.3,345.2,64.6,63.7,64.1,75.5,74.4,74.8,53.8,53.1,53.5,461.0,161.4,299.6,1284.6,639.8,644.9
Mar-1993,750.9,763.1,761.5,437.0,443.7,441.9,313.9,319.4,319.6,564.1,573.6,568.8,394.5,399.2,396.4,169.5,174.4,172.4,192.7,45.5,147.2,58.4,59.3,59.2,68.2,69.2,69.0,48.6,49.5,49.5,80.9,76.3,82.0,47.3,43.9,45.4,33.6,32.4,36.6,63.9,39.7,24.2,18.1,5.7,12.4,9.7,9.1,9.7,9.8,9.0,9.3,9.7,9.2,10.3,10.1,9.1,12.3,8.6,11.1,7.8,831.8,839.5,843.5,484.3,487.6,487.3,347.5,351.9,356.2,64.7,65.2,65.6,75.6,76.1,76.0,53.8,54.5,55.2,443.0,153.5,289.5,1286.5,640.8,645.7
Apr-1993,754.1,753.4,748.7,439.6,439.9,437.9,314.5,313.5,310.8,566.3,565.7,560.3,396.5,397.5,395.0,169.8,168.2,165.3,188.4,42.8,145.5,58.6,58.5,58.1,68.5,68.6,68.3,48.7,48.5,48.1,80.0,85.8,85.1,46.6,51.8,50.3,33.4,34.1,34.8,70.4,45.8,24.7,14.7,4.6,10.1,9.6,10.2,10.2,9.6,10.5,10.3,9.6,9.8,10.1,11.2,10.4,13.0,7.2,9.6,6.5,834.1,839.2,833.8,486.2,491.7,488.2,347.9,347.6,345.6,64.8,65.2,64.7,75.8,76.6,76.1,53.8,53.8,53.5,454.1,153.3,300.8,1287.9,641.6,646.4
May-1993,756.9,756.7,756.5,442.1,441.4,440.4,314.8,315.3,316.1,568.1,567.9,567.7,398.1,397.1,397.5,169.9,170.8,170.2,188.8,42.9,145.9,58.7,58.7,58.7,68.8,68.7,68.6,48.7,48.7,48.9,79.8,81.3,81.0,46.5,48.3,48.5,33.3,33.0,32.5,65.8,43.9,21.9,15.2,4.6,10.6,9.5,9.7,9.7,9.5,9.9,9.9,9.6,9.5,9.3,10.4,9.9,11.4,7.5,9.7,6.8,836.6,838.0,837.5,488.5,489.7,488.9,348.1,348.3,348.6,64.9,65.0,65.0,76.0,76.2,76.1,53.8,53.8,53.9,451.8,153.4,298.4,1289.4,642.4,647.0
Jun-1993,759.4,763.8,764.9,444.3,446.5,447.2,315.1,317.3,317.7,569.3,574.0,571.8,399.3,401.6,401.3,170.0,172.3,170.5,193.1,46.0,147.2,58.8,59.2,59.3,69.1,69.4,69.5,48.6,49.0,49.1,79.9,77.3,75.5,46.6,44.1,42.4,33.3,33.2,33.1,60.3,38.6,21.7,15.2,3.8,11.4,9.5,9.2,9.0,9.5,9.0,8.7,9.6,9.5,9.4,9.5,8.8,11.3,7.3,7.7,7.2,839.3,841.1,840.4,490.9,490.6,489.7,348.4,350.5,350.8,65.0,65.2,65.1,76.3,76.3,76.1,53.8,54.1,54.2,450.3,153.5,296.9,1290.8,643.1,647.6
Jul-1993,761.9,759.4,761.9,446.5,444.9,447.5,315.4,314.6,314.4,570.5,567.3,570.1,400.5,397.8,399.5,170.0,169.4,170.7,191.8,48.1,143.7,58.9,58.8,58.9,69.3,69.1,69.5,48.6,48.5,48.5,80.1,79.9,74.9,46.7,46.6,44.9,33.4,33.3,30.0,61.3,40.8,20.5,13.6,4.1,9.5,9.5,9.5,9.0,9.5,9.5,9.1,9.6,9.6,8.7,9.7,9.3,10.7,6.6,7.8,6.2,842.0,839.4,836.8,493.3,491.5,492.4,348.7,347.9,344.4,65.1,64.9,64.7,76.6,76.3,76.5,53.8,53.6,53.1,455.8,151.6,304.2,1292.6,644.1,648.5
Aug-1993,764.5,760.4,757.9,448.7,448.5,447.0,315.8,311.9,310.9,572.0,570.6,564.8,401.9,402.3,399.6,170.1,168.3,165.2,193.1,47.4,145.6,59.1,58.7,58.6,69.6,69.5,69.3,48.6,48.0,47.9,80.1,81.8,78.7,46.8,47.5,46.3,33.3,34.4,32.4,66.7,43.4,23.3,11.9,2.9,9.0,9.5,9.7,9.4,9.4,9.6,9.4,9.5,9.9,9.4,10.6,9.8,12.4,5.8,5.8,5.8,844.6,842.3,836.6,495.5,496.0,493.3,349.1,346.3,343.3,65.3,65.1,64.6,76.8,76.9,76.5,53.8,53.3,52.9,457.9,151.7,306.2,1294.4,645.0,649.5
Sep-1993,767.2,768.5,776.0,450.8,451.0,455.2,316.4,317.5,320.8,574.1,573.3,576.7,403.6,403.8,406.4,170.5,169.5,170.3,199.3,48.7,150.5,59.2,59.3,59.9,69.8,69.8,70.5,48.7,48.8,49.3,79.9,79.4,79.3,46.8,46.7,46.9,33.1,32.7,32.4,64.0,42.3,21.7,15.3,4.6,10.7,9.4,9.4,9.3,9.4,9.4,9.3,9.5,9.3,9.2,10.0,9.4,11.3,7.1,8.6,6.6,847.1,847.9,855.3,497.6,497.8,502.1,349.5,350.2,353.3,65.4,65.4,66.0,77.1,77.1,77.7,53.7,53.8,54.3,440.9,143.9,297.1,1296.3,645.9,650.4
Oct-1993,770.2,770.6,771.1,452.9,452.6,453.4,317.3,318.1,317.7,576.9,578.6,578.5,405.8,404.4,404.3,171.1,174.2,174.2,192.5,49.1,143.5,59.3,59.4,59.4,70.0,70.0,70.1,48.7,48.8,48.8,79.4,79.6,74.1,46.6,47.0,43.3,32.8,32.6,30.8,62.1,39.7,22.3,12.0,3.6,8.5,9.3,9.4,8.8,9.3,9.4,8.7,9.4,9.3,8.8,9.7,8.9,11.4,5.9,6.8,5.6,849.6,850.2,845.2,499.5,499.6,496.7,350.1,350.7,348.5,65.5,65.5,65.1,77.2,77.2,76.8,53.8,53.8,53.5,452.8,150.0,302.7,1297.9,646.7,651.2
Nov-1993,773.4,774.8,772.9,455.0,456.0,453.5,318.4,318.8,319.4,580.2,578.9,577.6,408.1,408.5,407.6,172.1,170.4,170.0,195.3,45.9,149.4,59.5,59.6,59.5,70.3,70.4,70.0,48.8,48.9,49.0,78.7,77.8,72.5,46.1,45.1,42.4,32.6,32.7,30.1,59.5,37.9,21.6,13.0,4.6,8.4,9.2,9.1,8.6,9.2,9.0,8.6,9.3,9.3,8.6,9.3,8.5,11.3,6.3,9.1,5.3,852.1,852.5,845.4,501.0,501.1,495.9,351.0,351.4,349.5,65.6,65.6,65.1,77.4,77.4,76.6,53.8,53.9,53.6,454.2,151.6,302.6,1299.6,647.5,652.1
Dec-1993,776.6,774.2,783.2,456.8,456.2,460.6,319.8,318.0,322.6,583.2,583.9,593.4,410.1,411.1,416.2,173.1,172.8,177.3,189.8,44.4,145.4,59.7,59.5,60.2,70.4,70.4,71.0,49.0,48.7,49.4,77.7,79.2,79.5,45.2,46.9,46.8,32.4,32.4,32.7,65.5,41.6,23.9,14.0,5.2,8.8,9.1,9.3,9.2,9.0,9.3,9.2,9.2,9.2,9.2,9.9,9.1,11.9,6.8,10.4,5.7,854.2,853.5,862.7,502.1,503.1,507.3,352.2,350.4,355.3,65.6,65.6,66.3,77.4,77.6,78.3,53.9,53.7,54.4,438.6,141.0,297.6,1301.3,648.3,653.0
Jan-1994,779.1,785.5,776.9,458.3,458.0,455.1,320.9,327.6,321.8,585.6,586.8,586.9,411.6,410.8,409.3,174.0,176.0,177.6,190.1,45.8,144.3,59.8,60.2,59.6,70.5,70.5,70.1,49.0,50.1,49.2,76.6,76.5,82.8,44.2,44.2,49.3,32.4,32.2,33.5,69.1,44.3,24.7,13.8,4.9,8.8,8.9,8.9,9.6,8.8,8.8,9.8,9.2,9.0,9.4,10.5,9.8,12.2,6.7,9.7,5.8,855.7,862.0,859.8,502.4,502.2,504.4,353.3,359.8,355.4,65.6,66.1,65.9,77.3,77.3,77.6,54.0,55.0,54.3,444.0,145.2,298.8,1303.8,649.6,654.2
Feb-1994,780.9,781.9,778.6,459.2,460.0,458.6,321.7,321.9,320.0,587.1,588.7,589.4,412.3,414.7,414.9,174.7,174.0,174.5,189.2,43.7,145.6,59.8,59.9,59.6,70.6,70.7,70.4,49.1,49.1,48.8,75.6,74.9,83.5,43.1,42.4,46.1,32.5,32.5,37.4,67.6,42.8,24.8,15.9,3.3,12.6,8.8,8.7,9.7,8.6,8.4,9.1,9.2,9.2,10.5,10.3,9.3,12.5,7.8,7.1,8.0,856.6,856.8,862.1,502.4,502.4,504.7,354.2,354.4,357.5,65.6,65.6,66.0,77.2,77.2,77.5,54.1,54.1,54.5,444.2,146.3,297.9,1306.3,650.9,655.4
Mar-1994,782.6,783.9,782.7,459.9,460.5,459.1,322.6,323.4,323.5,588.0,587.4,582.6,412.6,412.0,409.5,175.5,175.4,173.1,200.1,49.6,150.4,59.8,59.9,59.8,70.5,70.6,70.4,49.2,49.3,49.3,74.9,70.3,75.5,42.4,42.0,43.5,32.5,28.2,32.0,60.2,38.4,21.7,15.3,5.1,10.2,8.7,8.2,8.8,8.4,8.4,8.7,9.2,8.0,9.0,9.4,8.6,11.2,7.1,9.3,6.4,857.4,854.2,858.2,502.3,502.5,502.7,355.1,351.6,355.5,65.5,65.3,65.6,77.0,77.0,77.1,54.1,53.6,54.1,450.7,149.6,301.1,1308.8,652.2,656.6
Apr-1994,784.2,785.6,786.6,460.6,460.5,461.4,323.7,325.0,325.2,588.7,587.8,585.8,412.6,412.2,412.4,176.2,175.6,173.4,200.8,49.0,151.8,59.8,59.9,60.0,70.5,70.5,70.6,49.2,49.4,49.5,74.2,73.8,72.6,42.0,41.6,40.3,32.3,32.3,32.3,57.0,35.9,21.1,15.5,4.4,11.2,8.6,8.6,8.4,8.3,8.3,8.0,9.1,9.0,9.0,8.9,8.0,10.9,7.2,8.2,6.9,858.5,859.4,859.2,502.5,502.1,501.7,356.0,357.3,357.5,65.5,65.6,65.6,76.9,76.9,76.8,54.1,54.3,54.4,451.4,151.5,300.0,1310.6,653.1,657.5
May-1994,786.1,782.4,782.3,461.3,461.0,460.1,324.9,321.4,322.2,589.6,588.6,588.3,412.8,412.1,412.6,176.8,176.4,175.7,193.9,47.4,146.5,59.9,59.6,59.6,70.5,70.5,70.3,49.3,48.8,48.9,73.6,73.3,72.9,41.8,41.1,41.1,31.8,32.2,31.9,58.9,36.7,22.2,14.1,4.4,9.7,8.6,8.6,8.5,8.3,8.2,8.2,8.9,9.1,9.0,9.1,8.2,11.2,6.8,8.5,6.2,859.7,855.7,855.2,503.0,502.0,501.1,356.7,353.7,354.1,65.5,65.2,65.2,76.9,76.8,76.6,54.2,53.7,53.8,457.2,152.9,304.3,1312.4,654.0,658.4
Jun-1994,788.5,785.4,786.0,462.1,459.6,460.1,326.4,325.8,325.9,590.8,589.3,587.2,413.3,410.4,410.0,177.4,178.9,177.1,198.8,50.1,148.7,60.0,59.8,59.8,70.5,70.2,70.3,49.5,49.4,49.4,72.7,74.7,73.2,41.6,42.3,40.7,31.1,32.5,32.6,60.3,38.0,22.3,12.9,2.6,10.3,8.4,8.7,8.5,8.3,8.4,8.1,8.7,9.1,9.1,9.3,8.5,11.2,6.1,5.0,6.5,861.2,860.2,859.2,503.7,501.9,500.8,357.5,358.3,358.4,65.5,65.5,65.4,76.9,76.6,76.5,54.2,54.3,54.4,455.0,154.2,300.8,1314.2,654.9,659.3
Jul-1994,791.4,797.5,800.5,463.0,464.9,467.9,328.4,332.6,332.7,592.5,595.4,598.7,414.0,416.0,417.8,178.5,179.4,180.8,201.9,50.0,151.8,60.1,60.6,60.8,70.6,70.9,71.3,49.7,50.4,50.4,71.7,72.3,68.2,41.4,42.9,41.4,30.3,29.4,26.8,53.2,36.9,16.3,15.0,4.5,10.5,8.3,8.3,7.9,8.2,8.4,8.1,8.5,8.1,7.4,8.2,8.1,8.3,6.9,8.3,6.5,863.1,869.8,868.7,504.4,507.8,509.3,358.7,362.0,359.4,65.5,66.1,66.0,76.9,77.4,77.6,54.3,54.8,54.4,448.0,146.9,301.1,1316.7,656.2,660.5
Aug-1994,795.1,796.2,793.3,464.2,465.4,463.7,331.0,330.9,329.7,594.7,597.2,591.8,414.9,419.6,416.8,179.8,177.6,175.0,201.5,46.9,154.6,60.3,60.4,60.1,70.6,70.8,70.5,50.0,50.0,49.8,70.4,69.4,66.5,40.9,40.8,39.8,29.5,28.6,26.7,52.2,34.3,17.9,14.3,5.5,8.8,8.1,8.0,7.7,8.1,8.1,7.9,8.2,7.9,7.5,8.1,7.6,9.3,6.6,10.5,5.4,865.5,865.6,859.9,505.1,506.2,503.5,360.5,359.4,356.4,65.6,65.6,65.2,76.8,77.0,76.6,54.5,54.3,53.9,459.3,154.0,305.3,1319.2,657.5,661.7
Sep-1994,799.5,795.8,802.2,465.6,464.9,468.4,333.9,331.0,333.8,597.0,596.6,599.8,415.6,416.9,419.5,181.4,179.8,180.3,202.5,48.9,153.6,60.5,60.2,60.7,70.7,70.6,71.1,50.4,49.9,50.4,69.0,71.4,71.2,40.3,39.7,40.0,28.7,31.7,31.2,55.0,34.7,20.3,16.2,5.3,10.9,7.9,8.2,8.2,8.0,7.9,7.9,7.9,8.7,8.5,8.4,7.6,10.1,7.4,9.9,6.6,868.5,867.2,873.4,505.8,504.6,508.4,362.7,362.6,365.0,65.7,65.6,66.1,76.8,76.6,77.2,54.7,54.7,55.1,448.2,150.3,297.9,1321.7,658.7,662.9
Oct-1994,804.1,801.2,800.9,467.0,463.0,463.2,337.1,338.3,337.8,599.3,595.2,594.8,416.2,410.5,410.0,183.1,184.8,184.8,206.2,53.2,153.0,60.8,60.5,60.5,70.8,70.2,70.2,50.8,51.0,50.9,67.7,67.3,62.4,39.7,38.5,35.7,28.0,28.8,26.7,49.8,31.6,18.2,12.6,4.1,8.5,7.8,7.7,7.2,7.8,7.7,7.2,7.7,7.8,7.3,7.7,7.2,9.0,5.8,7.1,5.3,871.8,868.5,863.3,506.7,501.5,498.9,365.1,367.1,364.5,65.9,65.6,65.2,76.8,76.0,75.6,55.0,55.3,54.9,460.0,160.7,299.3,1323.3,659.5,663.7
Nov-1994,808.5,807.0,805.6,468.6,467.6,465.5,340.0,339.4,340.1,601.6,600.7,598.9,416.7,414.3,412.9,184.8,186.4,186.0,206.7,52.5,154.1,61.0,60.9,60.8,71.0,70.8,70.5,51.1,51.1,51.2,66.9,68.6,64.3,39.4,40.7,38.4,27.4,28.0,25.9,49.0,32.9,16.1,15.3,5.5,9.8,7.6,7.8,7.4,7.8,8.0,7.6,7.5,7.6,7.1,7.6,7.4,8.0,6.9,9.4,6.0,875.4,875.6,869.9,508.0,508.2,503.8,367.4,367.4,366.1,66.1,66.1,65.7,76.9,77.0,76.3,55.3,55.3,55.1,455.0,156.5,298.5,1324.9,660.3,664.5
Dec-1994,812.9,816.0,825.3,470.3,471.4,475.7,342.7,344.5,349.5,604.1,606.4,616.5,417.4,419.3,424.2,186.7,187.1,192.3,208.8,51.6,157.3,61.3,61.5,62.2,71.1,71.3,72.0,51.5,51.8,52.5,66.5,64.3,64.2,39.6,37.7,37.4,26.9,26.6,26.8,51.0,33.1,18.0,13.2,4.3,8.9,7.6,7.3,7.2,7.8,7.4,7.3,7.3,7.2,7.1,7.6,7.2,8.5,5.9,7.7,5.3,879.5,880.3,889.5,509.9,509.1,513.1,369.6,371.2,376.4,66.3,66.4,67.1,77.1,77.0,77.6,55.5,55.8,56.6,437.0,148.0,289.0,1326.5,661.1,665.4
Jan-1995,817.4,819.1,810.0,472.0,472.3,469.1,345.4,346.8,340.9,607.0,603.8,603.3,418.6,418.6,416.8,188.5,185.2,186.5,206.7,52.4,154.4,61.5,61.6,60.9,71.2,71.3,70.8,51.8,52.0,51.1,66.5,65.9,72.0,40.0,40.1,44.7,26.5,25.9,27.2,58.2,39.6,18.6,13.8,5.2,8.6,7.5,7.4,8.2,7.8,7.8,8.7,7.1,6.9,7.4,8.8,8.7,9.1,6.2,9.0,5.3,883.9,885.0,882.0,512.0,512.3,513.8,371.9,372.7,368.1,66.5,66.6,66.4,77.3,77.3,77.6,55.8,55.9,55.2,447.3,148.7,298.6,1329.3,662.6,666.7
